Submission_id,Participant_id,Status,Custom study tncs accepted at,Started_time,Completed_time,Reviewed_time,Archieve_time,Time_taken,Custom_id_prolific,Total_Prolific_approvals,Age,Sex,Ethnicity ,Birth_country,Residency_country,Nationality,Language,Student_status,Employment_status 
6627d5c98782e753c0e98a33,612e6a6ce3474a839db5e767,APPROVED,Not Applicable,2024-04-23T15:37:50.113000Z,2024-04-23T15:39:09.721000Z,2024-04-23T16:14:31.458000Z,2024-04-23T15:39:10.226605Z,80,38,85,20,Female,White,Spain,Spain,Spain,Spanish,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6627d5cb659364a4dcb33d60,660ec4e6e167132a706e5fd4,APPROVED,Not Applicable,2024-04-23T15:37:54.141000Z,2024-04-23T15:38:34.675000Z,2024-04-23T16:14:33.140000Z,2024-04-23T15:38:35.095977Z,41,48,5,33,Male,White,Denmark,Denmark,Denmark,Danish,No,Full-Time
6627d5b5355ac826b72a5ceb,662576831011592652c2c4bc,APPROVED,Not Applicable,2024-04-23T15:37:56.258000Z,2024-04-23T15:39:30.949000Z,2024-04-23T16:13:50.688000Z,2024-04-23T15:39:32.011267Z,95,41,0,18,Female,White,Latvia,Latvia,Latvia,Russian,Yes,Unemployed (and job seeking)
6627d5c0851231263d20ede3,65dcac04ea6f0da3f531f5ce,APPROVED,Not Applicable,2024-04-23T15:37:56.334000Z,2024-04-23T15:38:49.872000Z,2024-04-23T16:13:48.593000Z,2024-04-23T15:38:50.401435Z,54,43,42,23,Female,Mixed,Mexico,Mexico,Mexico,Spanish,No,Full-Time
6627d5c4b700bcb777e98a32,5f92ec3c26384e040f06e2db,APPROVED,Not Applicable,2024-04-23T15:38:02.890000Z,2024-04-23T15:39:04.552000Z,2024-04-23T16:13:49.622000Z,2024-04-23T15:39:05.058837Z,62,47,260,25,Female,White,Spain,Spain,Spain,Spanish,No,Full-Time
6627d5d715a07b0847740ace,653bb4bb22879f0a935901b2,APPROVED,Not Applicable,2024-04-23T15:38:06.612000Z,2024-04-23T15:39:06.960000Z,2024-04-23T16:13:50.166000Z,2024-04-23T15:39:07.621224Z,61,46,64,38,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6627d5dffa45d3b3bffa691a,65e332101c6e23cd9e1e8a44,APPROVED,Not Applicable,2024-04-23T15:38:11.467000Z,2024-04-23T15:39:21.681000Z,2024-04-23T16:13:51.566000Z,2024-04-23T15:39:22.248139Z,71,49,26,40,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
6627d5c6f8162735adca99ee,5fa9ea84e795e92a0b7e4968,APPROVED,Not Applicable,2024-04-23T15:38:13.642000Z,2024-04-23T15:39:17.528000Z,2024-04-23T16:13:52.305000Z,2024-04-23T15:39:18.053143Z,64,36,434,28,Male,Other,Mexico,Mexico,Mexico,Spanish,Yes,Full-Time
6627d5e6126648f936518869,60bb608a2da16013513f577e,APPROVED,Not Applicable,2024-04-23T15:38:14.465000Z,2024-04-23T15:39:12.214000Z,2024-04-23T16:15:17.463000Z,2024-04-23T15:39:12.844834Z,58,34,96,34,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,Austria,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
6627d5e5f1ce3e4af8de0cf7,5f73444ebccd2c026fa7a5d0,APPROVED,Not Applicable,2024-04-23T15:38:16.707000Z,2024-04-23T15:39:14.996000Z,2024-04-23T16:13:53.160000Z,2024-04-23T15:39:15.622070Z,59,50,47,23,Female,Black,Portugal,Portugal,Portugal,Portuguese,Yes,DATA_EXPIRED
